#;Tier (1/2/3);Scope;Control Reference;Design Effectiveness Assessment;Test Procedures 
1;1;Model Governance and Oversight;1.1;Is there a formal policy for the calculation of Expected Credit Loss / IFRS 9 approved by Senior Management or the governing body?;Test 1.1: Obtain the IFRS 9 Policy. Verify the approval date and signature. Confirm it was approved by the Board or ALCO.
2;1;Model Governance and Oversight;1.2;Are the IFRS 9 policy and procedures aligned with the requirements of the applicable standard and local regulation?;Test 1.2: Review Policy 'Scope' and 'Definitions'. Confirm explicit references to IFRS 9 para 5.5 and relevant local circulars.
3;1;Model Governance and Oversight;1.3;Are there formal controls and procedures to ensure that IFRS 9 methodologies are applied consistently and traceably?;Test 1.3: Review the Methodological Manual. Verify detailed chapters exist for every risk parameter (PD, LGD, EAD, FLI).
4;3;Model Governance and Oversight;1.4;Is documentation written in a clear, structured, and comprehensive manner so that an independent third party can fully understand and replicate the process without relying on internal knowledge?  Are the Assumptions clearly documented? Check versioning and last revision.;Test 1.4: (Deep Dive) Attempt to rebuild a small model component (e.g., a specific LGD segment) strictly following the manual. Note gaps. If full rebuild is impossible due to time, trace the logic of one specific formula (e.g., LGD Haircut) from the text to the code
5;1;Model Governance and Oversight;1.5;Are the roles and responsibilities of the IFRS 9 process (development, validation, business, reporting, etc.) clearly defined and documented?;Test 1.5: Review (if there is) 'Roles & Responsibilities' section. Verify that the team developing the model is different from the team validating it.
6;2;Model Governance and Oversight;1.6;Is there a formal process for periodic review of IFRS 9 models (e.g., at least annually)?;"Test 1.6: Check the Validation Policy for a clause requiring ""Annual Review"" or ""Event-driven Review""."
7;3;Model Governance and Oversight;1.7;Is there a record of findings from internal validations, audits, and supervisory reviews, including details of corrective actions and closure status?;"Test 1.7: Request the ""Findings Tracker"" Excel/System. Check if past audit points are logged."
8;3;Model Governance and Oversight;1.8;Is it documented who identified the findings, what measures were adopted, and how their resolution was verified?;"Test 1.8: Select 3 ""Closed"" findings. Request evidence (emails, reports) proving they were actually fixed and verified."
9;1;Data Quality and Sources;2.1;Representativeness testing performed? Data used is relevant e.g., using MEVs that are relevant to the portfolio in hand?;Test 2.1: Check the date range of training data. Does it include a downturn/crisis period?
10;2;Data Quality and Sources;2.2;Are the sources of input data for IFRS 9 models (e.g., contractual terms, payment history, collateral information) clearly identified, documented, and approved?;"Test 2.2: Review the ""Data Architecture"" diagram or section. Verify inputs are traced to specific IT systems."
11;2;Data Quality and Sources;2.3;Are there formal controls to ensure the completeness, accuracy, and consistency of data used in PD, LGD, and EAD calculations?;"Test 2.3: Inspect ETL specs. Look for ""Reject Rules"" (e.g., ""If DPD < 0, reject record"")."
12;2;Data Quality and Sources;2.4;Is there a process for periodic data quality checks, including reconciliation between source systems and model input datasets?;"Test 2.4: Request the last ""Risk-to-Finance"" reconciliation report. Check for unexplained variances > threshold."
13;3;Data Quality and Sources;2.5;Are data transformations (e.g., aggregations, adjustments, mappings) traceable and documented to ensure transparency and auditability?;"Test 2.5: Select one variable (e.g., ""LGD""). Trace its journey from the raw table to the final calculation engine input."
14;3;Data Quality and Sources;2.6;Are data dictionaries and metadata maintained for all key IFRS 9 data elements?;"Test 2.6: Review Data Dictionary. Check definitions for ambiguity (e.g., does ""Maturity Date"" mean legal or expected?)."
15;3;Data Quality and Sources;2.7;Are periodic audits performed to verify compliance with data governance policies and standards?;"Test 2.7: Review Internal Audit Plan. Check if ""Data Governance"" is a scheduled audit topic."
16;1;Segmentation;3.1;Does segmentation adequately distinguish between collective and individual treatment, where applicable?;Test 3.1: Review the Segmentation Policy. Verify that clear, mutually exclusive criteria (whether quantitative thresholds, specific risk characteristics, or lack of historical data) are defined to assign exposures to either Individual or Collective assessment.
17;1;Segmentation;3.2;Is there a defined process (quantitative and/or qualitative) to determine and review segmentation (homogeneity/heterogeneity, concentration, stability, etc.)?;"Test 3.2: Request the last ""Segmentation Review"" report. Did they check if segments are still distinct?"
18;3;Segmentation;3.3;Do collective segments group exposures with sufficiently similar risk characteristics?;Test 3.3: (Statistical) Request Cluster Analysis or Variance Analysis (ANOVA) on default rates within segments.
19;2;Segmentation;3.4;Is the criterion for assigning individual treatment clearly defined, justified, and documented?;"Test 3.4: Select 5 ""Individual"" files. Check if they meet the documented criteria (e.g., Watchlist, Size)."
20;2;Segmentation;3.5;Are there controls to verify that segmentation rules are correctly applied to the model input data?;Test 3.5: Analyze the loan tape. Check for misclassified loans (e.g., a Corporate loan in the Retail segment).
;1;Segmentation;3.6;Is the segmentation quantitativelly backed  ?;"Test 3.6: Request the last ""Segmentation Review"" report. Did they check if segments are still distinct?"
21;1;Definition of Default;4.1;Is the definition of default documented and consistent with the reference regulation (e.g., more than 90 days past due, unlikeliness-to-pay criteria, etc.)?;"Test 4.1: Verify Policy text explicitly mentions ""90 days"" and lists UTP triggers (bankruptcy, restructuring)."
22;1;Definition of Default;4.2;Is the default definition applied consistently across staging, PD, LGD, and other model components?;Test 4.2: Compare the Default definition in the IFRS 9 Manual vs. the Basel/Capital Manual. They should match.
23;1;Risk Contagion;5.1;Is there a formal policy or criterion for risk contagion among exposures of the same client or economic group?;"Test 5.1: Review Policy. Look for the ""Pulling Effect"" rule (e.g., if 20% of exposure is default, all is default)."
24;3;Risk Contagion;5.2;Is the contagion criterion considered prudent and aligned with best practices in credit risk management?;Test 5.2: Compare the contagion threshold (e.g., >30% balance) against local peer practices.
25;1;Risk Contagion;5.3;Are there controls or periodic reviews to verify that stage contagion is correctly applied in practice?;Test 5.3: Identify a client with one defaulted loan. Check if their other performing loans are flagged as Stage 3.
26;1;PD;6.1;Is the PD estimation methodology clearly documented (data sources, horizon, statistical technique, target population, assumptions)?;Test 6.1: Verify the document explains how the PD is calculated step-by-step (Formulas, Variables).
27;1;PD;6.2;Is the PD model designed as Point-in-Time (PiT) or Through-the-Cycle (TTC), and is this choice justified against expected loss requirements?;Test 6.2: Check if the PD fluctuates with the economic cycle (Variable Scalar or FLI overlay). TTC is invalid for IFRS 9.
28;1;PD;6.3;Is lifetime PD estimation well explained and consistent with the expected life of exposures and staging approach?;Test 6.3: Review the marginal PD calculation. Does it account for prepayments and natural maturity?
29;2;PD;6.4;Is the method for constructing and, if applicable, extrapolating PD curves or probabilities across different horizons justified and documented?;Test 6.4: Check the tail of the PD curve (>5 years). Is it flat, converging, or purely extrapolated?
30;1;PD;6.5;Are stability, sensitivity, or backtesting analyses available to support model calibration and performance?;"Test 6.5: Review the latest Backtesting Report. Look for ""Red/Amber/Green"" status on PD calibration."
31;2;PD;6.6;Are there controls to ensure input data quality and correct execution of PD calculation?;Test 6.6: Sample check. Take the Model Output PD and compare it to the Core Banking System PD field.
32;1;LGD;7.1;Is the segmentation used for LGD (e.g., by product type, collateral, client type) defined and supported by empirical or business analysis?;"Test 7.1: Verify LGD is not ""one size fits all"". Expect different LGDs for Secured vs Unsecured."
33;2;LGD;7.2;Does the methodology clearly describe how recovery cash flows, recovery costs, and timing of loss recognition are estimated?;"Test 7.2: Review LGD formula. Check if ""Recovery Costs"" (legal fees) are deducted from cash flows."
34;1;LGD;7.3;Are recovery cash flows discounted using an appropriate rate (e.g., effective interest rate – EIR – or another duly justified rate) in line with applicable standards?;"Test 7.3: Verify the discount rate used. If ""Risk Free Rate"" is used, it's a finding. Must be EIR."
35;2;LGD;7.4;Is the observation horizon used to measure recoveries and losses justified and consistent with historical exposure behavior?;"Test 7.4: Check the ""Time to Liquidation"" parameter. Is it realistic (e.g., 2 years) vs legal reality?"
36;1;LGD;7.5;Are total loss assumptions (e.g., LGD of 100% after a certain time or condition) reasonably justified and documented?;"Test 7.5: Check policy for ""Write-off"" rules. Are assets >2 years past due provisioned at 100%?"
37;2;LGD;7.6;Does the methodology adequately and documentedly consider refinancings, restructurings, and write-offs?;Test 7.6: Review the LGD methodology and calculation logic. Verify that the model explicitly accounts for Cure Rates (probability of returning to performing status). Specifically, check if the LGD for a segment is mathematically lowered by the portion of loans that cure (recover 100% of their balance) versus those that are liquidated.
38;1;LGD;7.7;Are there controls to ensure recovery data quality and correct application of LGD methodology?;
39;2;LGD;7.8;Are there controls to validate the valuation of collateral used in LGD?;Test 7.7: Check frequency of collateral appraisal updates. Old appraisals = wrong LGD.
40;1;EAD / CCF;8.1;Is there a clear definition and methodology for calculating EAD, including on- and off-balance sheet components where applicable?;"Test 8.1: Review EAD Formula. Must include ""Off-Balance Sheet"" component."
41;1;EAD / CCF;8.2;Are credit conversion factors (CCF) defined for off-balance sheet exposures and revolving products, where relevant?;Test 8.2: Check CCF table. Are there CCFs for Credit Cards, Overdrafts, and Guarantees?
42;2;EAD / CCF;8.3;Is the CCF methodology documented, conceptually sound, and supported by historical data, regulatory references, or benchmarking?;Test 8.3: If using Basel CCFs, is there a justification that they fit the bank's profile?
43;3;EAD / CCF;8.4;"Has the bank analyzed ""Limit Utilization"" behavior approaching default?";"Test 8.4: (Deep Dive) Review the ""LEQ"" (Limit Exposure Quantum) study if available."
44;2;EAD / CCF;8.5;How does the model handle cases where Balance > Limit?;Test 8.5: Verify logic. EAD should be the Balance, not the Limit, if Balance > Limit.
45;1;EAD / CCF;8.6;Are there controls to check EAD calculation for multi-currency facilities?;Test 8.6: Check if FX rates are applied correctly to EAD for foreign currency loans.
46;2;Macro Scenarios;9.1;Are scenario assumptions reviewed and approved by a governance committee?;"Test 9.1: Read ALCO minutes. Look for ""Approval of Q3 Scenarios""."
47;2;Macro Scenarios;9.2;Is there a process for updating scenarios in response to significant economic changes?;Test 9.2: Check the dates of the last 4 scenario sets  and periodicity. 
48;1;Macro Scenarios;9.3;Does the FLI approach include multiple plausible macroeconomic scenarios (e.g., base, adverse, optimistic), or is their absence adequately justified?;Test 9.3: Verify the Provisioning Report shows 3 distinct ECL results weighted together.
49;2;Macro Scenarios;9.4;Are the probabilities assigned to different macroeconomic scenarios documented and justified when these are used?;Test 9.4: Review justification for weights (e.g., 60% Base, 20% Up, 20% Down). Is it static or dynamic?
50;1;Forward-Looking Information;10.1;Is there a formal process for selecting, developing, and validating the macroeconomic model or approach used to incorporate forward-looking information?;Test 10.1: Review the FLI Model Validation Report. Look for stationarity and cointegration tests.
51;3;Forward-Looking Information;10.2;Are the macroeconomic variables used relevant to the credit risk of the portfolios, and is their selection justified?;Test 10.2: Check correlation matrix. Does GDP correlate negatively with PD? (It should).
52;3;Forward-Looking Information;10.3;Have minimum criteria and tests (e.g., significance, stability, explanatory power) been defined to accept a macroeconomic model as valid (champion model)?;Test 10.3: Check the model output summary. Are p-values < 0.05 for key variables?
53;2;Forward-Looking Information;10.4;Is it clearly documented how FLI is incorporated into risk parameter estimation (e.g., PD, LGD, or EAD adjustment through factors or recalibration)?;Test 10.4: Verify the mechanism. Embedded is better, but Scalar is acceptable if documented.
54;3;Forward-Looking Information;10.5;Does the FLI model or approach show a reasonable response to changes in macroeconomic conditions (sensitivity/scenario analysis)?;Test 10.5: Perform a sensitivity check. If GDP drops 5%, does ECL rise significantly?
55;2;Forward-Looking Information;10.6;Are there controls to ensure correct generation, review, and application of macroeconomic scenarios and FLI factors in the models?;Test 10.6: Verify if macro data feed is automated or manual (Manual = High Risk).
56;1;ECL Calculation;11.1;Is the integration of PD, LGD, EAD, and FLI in ECL calculation clearly specified and implemented for each stage?;Test 11.1: Re-calculate one loan's ECL in Excel using the inputs. Match to system result.
57;1;ECL Calculation;11.2;Does ECL calculation respect Stage 1, Stage 2, and Stage 3 definitions (e.g., 12-month vs lifetime horizon, treatment of default exposures)?;"Test 11.2: Check the ""Horizon"" parameter in the engine for Stage 2 loans. Must be > 12 months."
58;1;ECL Calculation;11.3;Staging criteria and thresholds for significant increase in credit risk (SICR), Thorough assessment of SICR criteria and application. Test on Sample basis on loan tapes.;Test 11.3: Check a loan with 40 DPD. Is it Stage 2? If it is Stage 1, is there a valid rebuttal?
59;2;ECL Calculation;11.4;Segmentation of financial assets into homogeneous risk groups (Not testing, but rather if it's taken into account, if different methodologies are used for different segments, homogeneity tests performed etc.);Test 11.4: Verify that Retail loans use the Retail Model and Corporate use the Corporate Model.
60;1;ECL Calculation;11.5;Is the overall ECL methodology consistent with expected loss standard requirements and relevant supervisory guidelines?;Test 11.5: (General) confirm the final booking includes the weighted average of scenarios.
61;2;ECL Calculation;11.6;Does the book include POCIs? How are they treated? Are they correctly recognised?;"Test 11.6: Search for POCI flag. Ensure they do not have a ""Stage 1"" but are tracked as POCI from Day 1."
62;2;ECL Calculation;11.7;Are there controls to ensure integrity and traceability of the ECL calculation process (reconciliations, reviews, execution documentation)?;"Test 11.7: Compare ""Number of Loans"" in Input File vs. Output File. Should match."
63;1;Model Monitoring;12.1;Are there processes and controls for continuous monitoring of model risk to detect performance deterioration or significant changes in the environment?;"Test 12.1: Review the ""Model Monitoring Package"". Look for PSI (Population Stability Index) charts."
64;2;Model Monitoring;12.2;Are there adequate controls over key processes (segmentation, model selection, parameter calibration, staging) that establish minimum steps and criteria for accepting new models, drivers, or methodological changes?;"Test 12.2: Request the ""Change Log"". Verify that the last model update was tested in UAT before Prod."
65;1;Model Overrides;13.1;Is there a formal policy defining when and how model overrides can be applied (e.g., thresholds, exceptional circumstances)?;Test 13.1: Review Policy. Does it set caps/limits on overrides? (e.g., max 5% of portfolio).
66;1;Model Overrides;13.2;Are all overrides documented with clear justification, supporting evidence, and approval from an independent authority?;"Test 13.2: Select a sample of 5 recent overrides (Post-Model Adjustments). Inspect the ""Credit Committee"" or ""Risk Committee"" minutes to find the specific approval for these adjustments."
67;3;Model Overrides;13.3;Are overrides subject to periodic review to ensure they remain valid and do not introduce bias or undermine model integrity?;"Test 13.3: Request a time-series report of overrides. Check if specific overrides (e.g., ""sector adjustment"") are rolled over quarter-after-quarter (indicating a permanent model deficiency) or if they expire/reverse."
